Date,Price,Open,High,Low,Vol.,Change %
"Dec 30, 2019",74.25,74.75,74.75,74.25,9.37M,0.00%
"Dec 27, 2019",74.25,75.25,75.25,73.75,22.61M,-0.67%
"Dec 26, 2019",74.75,73.75,75,73.75,15.17M,1.01%
"Dec 25, 2019",74,73.25,74,73,7.23M,1.02%
"Dec 24, 2019",73.25,74.5,74.5,73.25,35.22M,-2.33%
"Dec 23, 2019",75,75,75.5,75,9.97M,-0.33%
"Dec 20, 2019",75.25,74.75,75.5,74.5,15.69M,0.33%
"Dec 19, 2019",75,74.25,75.5,74,18.42M,0.00%
"Dec 18, 2019",75,73.75,75.25,73.75,18.56M,1.69%
"Dec 17, 2019",73.75,74,74.5,73.25,25.19M,-0.67%
"Dec 16, 2019",74.25,75,75.25,74,16.47M,-1.66%
"Dec 13, 2019",75.5,76.25,76.5,75.25,14.83M,0.00%
"Dec 12, 2019",75.5,75.25,76,74.5,28.64M,1.34%
"Dec 11, 2019",74.5,73.5,74.75,73.25,25.95M,2.05%
"Dec 09, 2019",73,73.25,73.5,72.5,41.11M,-2.99%
"Dec 06, 2019",75.25,75.5,76,75,27.21M,0.67%
"Dec 04, 2019",74.75,74,75,73.5,23.51M,0.67%
"Dec 03, 2019",74.25,74.75,75.75,74,42.87M,-0.67%
"Dec 02, 2019",74.75,75.5,75.5,74,45.00M,-0.99%
"Nov 29, 2019",75.5,75,75.5,74.75,47.48M,0.00%
"Nov 28, 2019",75.5,77.5,77.5,75.5,65.93M,-3.51%
"Nov 27, 2019",78.25,78.75,78.75,77.75,29.48M,-1.26%
"Nov 26, 2019",79.25,80.5,80.5,78.25,42.82M,-1.55%
"Nov 25, 2019",80.5,80,80.5,79.75,11.69M,0.31%
"Nov 22, 2019",80.25,80,80.25,79.5,8.92M,0.31%
"Nov 21, 2019",80,80,80.5,79.25,14.10M,-0.31%
"Nov 20, 2019",80.25,80.5,80.75,79.75,17.38M,-0.93%
"Nov 19, 2019",81,80.5,81.75,80.25,22.17M,0.31%
"Nov 18, 2019",80.75,80,81.5,79.5,27.24M,0.94%
"Nov 15, 2019",80,79.25,80,79,11.05M,1.27%
"Nov 14, 2019",79,78.25,79.25,78,16.12M,0.96%
"Nov 13, 2019",78.25,79,79.5,78,21.83M,-1.57%
"Nov 12, 2019",79.5,80.25,80.5,79,16.36M,-0.63%
"Nov 11, 2019",80,80,80.25,79.25,16.45M,-0.31%
"Nov 08, 2019",80.25,79.75,80.75,79.5,11.35M,0.31%
