จำนวนนักท่องเที่ยวระหว่างประเทศของไทย ปี 2561P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,Number 2019P,,,,,,,,,,,,,Number 2018,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan - Dec,
East  Asia," 2,310,817 "," 2,359,560 "," 2,262,049 "," 2,186,827 "," 2,032,301 "," 2,250,544 "," 2,369,743 "," 2,561,838 "," 2,171,461 "," 2,108,299 "," 2,170,620 "," 2,475,796 "," 27,259,855 ","2,137,049","2,331,452","2,254,202","2,153,431","2,032,041","2,273,029","2,225,226","2,338,919","1,928,014","1,839,093","2,028,421","2,429,979","25,970,856",+ 8.13,+ 1.21,+ 0.35,+ 1.55,+ 0.01,- 0.99,+ 6.49,+ 9.53,+ 12.63,+ 14.64,+ 7.01,+ 1.89,+ 4.96,
ASEAN," 745,480 "," 788,110 "," 828,582 "," 857,164 "," 860,223 "," 968,904 "," 898,006 "," 942,776 "," 870,499 "," 846,368 "," 909,094 "," 1,111,305 "," 10,626,511 ","714,818","695,598","804,369","796,947","789,247","943,754","838,922","927,095","856,153","806,965","914,984","1,102,539","10,191,391",+ 4.29,+ 13.30,+ 3.01,+ 7.56,+ 8.99,+ 2.66,+ 7.04,+ 1.69,+ 1.68,+ 4.88,- 0.64,+ 0.80,+ 4.27,
Brunei," 1,149 ", 973 ," 1,931 "," 1,224 ", 826 ," 1,071 "," 1,374 "," 1,095 "," 1,173 ", 978 ," 1,564 "," 2,254 "," 15,612 ","1,104",799,"1,595","1,044",886,961,"1,048","1,041","1,269",862,"1,176","2,475","14,260",+ 4.08,+ 21.78,+ 21.07,+ 17.24,- 6.77,+ 11.45,+ 31.11,+ 5.19,- 7.57,+ 13.46,+ 32.99,- 8.93,+ 9.48,
Cambodia," 74,993 "," 67,799 "," 68,902 "," 73,594 "," 84,825 "," 64,413 "," 66,960 "," 78,513 "," 90,564 "," 78,564 "," 72,089 "," 86,290 "," 907,506 ","94,120","65,487","73,023","73,974","80,594","68,322","75,944","85,223","88,274","81,236","76,284","86,343","948,824",- 20.32,+ 3.53,- 5.64,- 0.51,+ 5.25,- 5.72,- 11.83,- 7.87,+ 2.59,- 3.29,- 5.50,- 0.06,- 4.35,
Indonesia," 54,970 "," 50,015 "," 61,340 "," 58,967 "," 46,618 "," 74,747 "," 66,677 "," 56,601 "," 54,979 "," 56,452 "," 63,671 "," 64,576 "," 709,613 ","47,416","44,465","52,253","48,404","47,973","72,712","57,178","52,732","50,798","51,138","57,736","61,904","644,709",+ 15.93,+ 12.48,+ 17.39,+ 21.82,- 2.82,+ 2.80,+ 16.61,+ 7.34,+ 8.23,+ 10.39,+ 10.28,+ 4.32,+ 10.07,
Laos," 149,196 "," 137,264 "," 138,662 "," 145,484 "," 147,804 "," 167,931 "," 169,872 "," 165,902 "," 161,295 "," 154,272 "," 149,317 "," 158,376 "," 1,845,375 ","133,334","125,890","135,321","138,376","127,418","137,627","146,076","151,244","138,096","143,979","136,095","151,174","1,664,630",+ 11.90,+ 9.03,+ 2.47,+ 5.14,+ 16.00,+ 22.02,+ 16.29,+ 9.69,+ 16.80,+ 7.15,+ 9.72,+ 4.76,+ 10.86,
Malaysia," 272,360 "," 324,724 "," 318,613 "," 329,013 "," 336,127 "," 349,190 "," 314,981 "," 384,245 "," 331,643 "," 327,068 "," 360,337 "," 518,567 "," 4,166,868 ","247,936","272,351","300,793","304,891","279,910","368,935","293,434","377,822","358,781","305,690","389,881","520,102","4,020,526",+ 9.85,+ 19.23,+ 5.92,+ 7.91,+ 20.08,- 5.35,+ 7.34,+ 1.70,- 7.56,+ 6.99,- 7.58,- 0.30,+ 3.64,
Myanmar," 29,504 "," 28,815 "," 33,354 "," 37,526 "," 32,467 "," 29,616 "," 31,796 "," 27,093 "," 28,150 "," 32,433 "," 30,159 "," 35,455 "," 376,368 ","28,639","26,757","33,016","34,535","33,315","26,786","29,877","28,286","27,369","31,154","30,914","37,540","368,188",+ 3.02,+ 7.69,+ 1.02,+ 8.66,- 2.55,+ 10.57,+ 6.42,- 4.22,+ 2.85,+ 4.11,- 2.44,- 5.55,+ 2.22,
Philippines," 32,448 "," 32,225 "," 37,612 "," 46,198 "," 42,278 "," 45,207 "," 43,683 "," 44,955 "," 39,141 "," 45,895 "," 46,172 "," 44,890 "," 500,704 ","28,739","25,526","32,002","36,477","41,833","37,945","36,975","39,589","34,184","40,493","39,981","38,493","432,237",+ 12.91,+ 26.24,+ 17.53,+ 26.65,+ 1.06,+ 19.14,+ 18.14,+ 13.55,+ 14.50,+ 13.34,+ 15.48,+ 16.62,+ 15.84,
Singapore," 74,668 "," 70,649 "," 85,402 "," 70,913 "," 77,978 "," 111,191 "," 76,652 "," 84,342 "," 85,417 "," 80,576 "," 105,293 "," 133,755 "," 1,056,836 ","74,741","70,815","93,737","69,967","85,264","108,478","76,166","88,576","82,108","78,840","107,676","133,499","1,069,867",- 0.10,- 0.23,- 8.89,+ 1.35,- 8.55,+ 2.50,+ 0.64,- 4.78,+ 4.03,+ 2.20,- 2.21,+ 0.19,- 1.22,
