Bank of Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC_EI_028_S2 : Tourism Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Unit: as stated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated : 31 Jan 2020 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retrieved date : 12 Feb 2020 13:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12/19,1/11/19,1/10/19,1/9/19,1/8/19,1/7/19,1/6/19,1/5/19,1/4/19,1/3/19,1/2/19,1/1/19,1/12/18,1/11/18,1/10/18,1/9/18,1/8/18,1/7/18,1/6/18,1/5/18,1/4/18,1/3/18,1/2/18,1/1/18,1/12/17,1/11/17,1/10/17,1/9/17,1/8/17,1/7/17,1/6/17,1/5/17,1/4/17,1/3/17,1/2/17,1/1/17,1/12/16,1/11/16,1/10/16,1/9/16,1/8/16,1/7/16,1/6/16,1/5/16,1/4/16,1/3/16,1/2/16,1/1/16,1/12/15,1/11/15,1/10/15,1/9/15,1/8/15,1/7/15,1/6/15,1/5/15,1/4/15,1/3/15,1/2/15,1/1/15
1.  Number of foreign tourists visiting Thailand (in thousands) ,3930.8,3358.59,3042.28,2902.73,3466.46,3327.2,3052.29,2726.81,3195.01,3473.09,3603.65,3718.5,3835.51,3171,2704,2636.12,3229.03,3177.09,3013.3,2737.83,3096.07,3494.64,3552.12,3531.48,3571.66,3039.57,2725.94,2600.28,3188.15,3099.41,2731.07,2600.62,2853.29,3018.41,2966.52,3197.05,3060.74,2452.45,2252.77,2416.82,2883.59,2949.1,2422.99,2459.09,2627.8,2927.22,3080.53,2996.44,3024.29,2566.07,2245.84,2044.65,2589.65,2641.51,2269.52,2301.62,2406.72,2555.36,2664.21,2613.69
2.  Accommodation occupancy rate (percent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,76.47,69.93,67.37,63.25,63.04,65.8,65.98,69.51,76.89,74.83,79.76,81.26,77.91,71.72,65.31,63.69,66.01,65.17,65.99,68.72,76.4,75.49,77.95,79.56,76.49,70,63.61,63.37,65.15,64.15,63.6,66.05,72.57,71.45,73.71,76.27,73.28,66.75,60.89,60.43,62.54,62.74,62.63,64.97,71.43,70.59,73.12,74.51,73.04,66.89,63.42,57.13,58.58,59.71,59.71,61.69,68.29,68.31,71.99,72.7
   Central (including Bangkok),78.96,74.18,72.01,69.09,70.38,71.89,69.73,76.1,82.54,78.53,82.84,83.77,81.13,76.31,69.9,69.04,73,71.41,70.52,75.64,81.64,78.58,81.24,83.09,80.09,75.26,68.82,69.36,72.46,70.66,67.77,72.34,76.58,73.38,74.95,79.16,76.73,72.05,65.95,66.08,69.57,69.68,67.99,72.21,76.53,74.36,76.31,78.08,73.35,69.56,66.18,58.85,61.95,62.55,61.19,64.46,67.85,67.15,69.64,71.93
   South,75.62,65.94,64.01,62.47,60.22,64.24,68.82,69.76,82.63,80.96,82.31,79.59,77.26,68.51,61.88,62.63,63.88,63.33,68.57,69.51,81.32,80.45,80.21,78.63,75.48,66.53,61.29,62.66,63.32,62.49,66.56,67.05,78.29,76.96,78.22,76.74,73.23,63.78,58.94,60.76,61.26,60.71,64.73,66.08,76.83,76.21,78.36,78.01,73.92,64.08,62.04,57.52,57.59,58.14,62.13,62.95,74.53,73.78,77.77,75.86
   North,77.44,69.65,60.1,50.84,50.69,54.39,54.28,55.78,58.18,58.71,73.26,79.4,77.17,69.38,57.75,53.06,53.29,54,53.44,54.6,62.15,65.88,71.97,77.8,75.6,66.38,55.86,51.23,51.59,52.55,51.17,52.32,59.58,63.28,68.66,74.44,71.3,62.44,53.37,47.55,49.44,51.45,49.25,49.03,56.79,59.91,64.79,68.55,66.67,60.05,53.92,44.45,45.26,47.93,45.18,46.46,53.95,56.89,63.19,66.49
   Northeast,66.48,62.2,65.78,56.13,54.67,58.32,57.33,57.98,61.39,63.48,66.23,71.28,66.7,63.38,64.38,57.25,58.1,57.68,56.05,56.1,59.48,61.72,65.62,69.06,64.51,60.86,57.12,54.98,55.88,55.29,53.85,53.99,56.92,59.1,62.93,64.69,61.43,58.04,54.61,52.52,53.4,53.62,51.8,52.21,54.47,56.24,59.46,60.45,59.31,56.42,56.06,50.33,51.45,51.4,48.62,48.75,52.71,54.62,58.06,58.39
3.  3-month advanced booking rate (percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Total,30.28,32.28,36.45,25.93,25.53,28.69,31.26,31.94,27.89,35.16,36.13,36.71,32.73,32.39,39.49,27.98,26.05,26.01,32.81,34.02,31.91,40.13,35.74,36.53,29.85,29.46,30.29,28.8,24.39,26.32,26.05,27.49,31.62,34.45,31.36,33.2,26.98,24.88,24.45,23.3,22.3,23.1,24.2,30,30.8,33,31.6,34.3,16.75,13.35,13.26,11.61,7.19,7.26,8.97,9.5,9.26,10.41,12.5,16.09
   Central (including Bangkok),33.52,33.56,43.64,28.76,29.12,34.42,38.43,37.34,32.81,43.06,38.92,39.82,35.69,35.2,43.76,31.7,28.96,28.22,38.72,40.88,38.56,46.43,39.66,39.77,32.36,32.4,35.6,34.8,30.8,32.73,31.3,34.04,36.5,39.13,33.64,37.88,30.26,28.48,28.99,27.2,28.3,29.1,29.1,36.6,37.4,38.2,35.5,39.2,21.51,20.18,19.38,15.38,13.95,11.43,9.59,13.45,11.49,12.79,20.52,21.46
