Year,จนมาก,จนน้อย,เกือบจน,,
2531,"26,698","7,500","5,100",,
2533,"22,926","8,757","6,038",,
2535,"19,349","8,477","6,647",,
2537,"14,500","9,635","6,997",,
2539,"11,271","9,050","7,501",,
2541,"13,093","9,626","7,574",,
2543,"15,880","9,637","7,842",,
2545,"10,845","8,776","8,101",,
2547,"8,491","7,934","8,094",,
2549,"6,658","7,063","7,288",,
2550,"5,803","6,873","7,627",,
2551,"5,696","7,385","7,451",,
2552,"4,991","6,643","7,343",,
2553,"4,583","6,229","7,531",,
2554,"3,417","5,340","7,637",,
2555,"3,346","5,042","7,183",,
2556,"2,703","4,602","6,727",,
2557,"2,528","4,530","6,097",,
2558,"1,506","3,341","5,634",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
